"GJK_Browscap_Version","GJK_Browscap_Version"
"5029","Thu, 08 May 2014 07:17:44 +0000"
"PropertyName","AgentID","MasterParent","LiteMode","Parent","Comment","Browser","Version","MajorVer","MinorVer","Platform","Platform_Version","Alpha","Beta","Win16","Win32","Win64","Frames","IFrames","Tables","Cookies","BackgroundSounds","JavaScript","VBScript","JavaApplets","ActiveXControls","isMobileDevice","isTablet","isSyndicationReader","Crawler","CssVersion","AolVersion"
"Mozilla/5.0 (*Windows NT 6.1*WOW64*) Gecko/* Firefox/20.0*","40188","false","true","Firefox 20.0","Firefox 20.0","Firefox","20.0","20","0","Win7","6.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.3*WOW64*) Gecko/* Firefox/29.0*","41076","false","true","Firefox 29.0","Firefox 29.0","Firefox","29.0","29","0","Win8.1","6.3","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/* (compatible; MSIE 9.0*; *Windows NT 6.0*Trident/5.0*","44331","false","true","IE 9.0","IE 9.0","IE","9.0","9","0","WinVista","6.0","false","false","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","3","0"
"Microsoft Office Protocol Discovery","954","false","false","Microsoft","Microsoft","MS OPD","0.0","0","0","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","0","0"
"Mozilla/5.0 (*Mac OS X 10_8*) AppleWebKit/* (KHTML, like Gecko) *Version/6.0* Safari/*","25162","false","true","Safari 6.0","Safari 6.0","Safari","6.0","6","0","MacOSX","10.8","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) AppleWebKit/* (KHTML, like Gecko)*Chrome/22.*Safari/*","5871","false","true","Chrome 22.0","Chrome 22.0","Chrome","22.0","22","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/* (compatible; MSIE 6.0*; *Windows NT 5.1*)*","44217","false","true","IE 6.0","IE 6.0","IE","6.0","6","0","WinXP","5.1","false","false","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","1","0"
"Mozilla/5.0 (*Windows NT 6.1*) Gecko/* Firefox/12.0*","39403","false","true","Firefox 12.0","Firefox 12.0","Firefox","12.0","12","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/* (compatible; MSIE 8.0*; *Windows NT 6.0*)*","44284","false","true","IE 8.0","IE 8.0","IE","8.0","8","0","WinVista","6.0","false","false","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","2","0"
"Mozilla/5.0 (*Mac OS X 10.8*) Gecko/* Firefox/29.0*","41052","false","true","Firefox 29.0","Firefox 29.0","Firefox","29.0","29","0","MacOSX","10.8","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Mac OS X 10_7*) AppleWebKit/* (KHTML, like Gecko) *Version/6.0* Safari/*","25160","false","true","Safari 6.0","Safari 6.0","Safari","6.0","6","0","MacOSX","10.7","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) Gecko/* Firefox/27.0*","40873","false","true","Firefox 27.0","Firefox 27.0","Firefox","27.0","27","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Mac OS X 10_7*) AppleWebKit/* (KHTML, like Gecko)*Chrome/34.*Safari/*","9491","false","true","Chrome 34.0","Chrome 34.0","Chrome","34.0","34","0","MacOSX","10.7","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Mac OS X 10.8*) Gecko/* Firefox/20.0*","40170","false","true","Firefox 20.0","Firefox 20.0","Firefox","20.0","20","0","MacOSX","10.8","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Linux x86_64*) AppleWebKit/* (KHTML,*like Gecko*) PhantomJS/1.9*Safari/*","47527","false","false","PhantomJS","DefaultProperties","PhantomJS","1.9","1","9","Linux","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2","0"
"Mozilla/5.0 (iPhone*CPU iPhone OS 7_1* like Mac OS X*)*AppleWebKit/*(*KHTML, like Gecko*)*Mobile/*","21569","false","true","Mobile Safari Generic","Mobile Safari Generic","Safari","0.0","0","0","iOS","7.1","false","false","false","false","false","true","true","true","true","false","true","false","false","false","true","false","false","false","3","0"
"Mozilla/5.0 (*Linux*Android 4.2*ASUS Transformer Pad TF700T Build/*) AppleWebKit/* (KHTML,*like Gecko*) Version/4.0*Safari/*","20764","false","true","Android Browser 4.0","Android Browser 4.0","Android","4.0","4","0","Android","4.2","false","false","false","false","false","true","true","true","true","false","true","false","false","false","true","true","false","false","3","0"
